text,sentiment,video_id,target_neg,target_neu,target_pos,like_count,source_url
Flop so big even Sonic Colors Ultimate is good compared to this ngl,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
This movie was epic! It so disappointing how its not a huge box office how they predicted it when it even better than the first one,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Mirror Mirror in a theater near me, can you keep this creature at bay",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
When Maleficent first dies in the climax it was like Thanos snapped his fingers,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
disney ruining childhood dreams since 1923,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
Yall think it's that bad,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
This is not Snow White. This is Woke White.,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Dont....ruin my morning!"" Best line ever❤",positive,n0OFH4xpPr4,0.05,0.15,0.8,1080,https://www.youtube.com/watch?v=n0OFH4xpPr4
She Phoenix = rebirth,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Maleficent: The Hidden World Hiccup: She's not the only one!,positive,n0OFH4xpPr4,0.05,0.15,0.8,333,https://www.youtube.com/watch?v=n0OFH4xpPr4
I told my boss at work that I saw Snow White and he gave me three days off for self care.,negative,iV46TJKL8cU,0.8,0.15,0.05,22359,https://www.youtube.com/watch?v=iV46TJKL8cU
What the song called from a sneak peek from Ralph Breaks the Internet?,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
This comment section is worth more money then the actual movie,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
"""mirror mirror on the wall This is the shittiest of them all"" ""Mirror mirror on the wall What did Disney do to deserve this fall???""",negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
Kinda frustrating that Aurora is right there hearing what the Queen is saying and yet she still sides with her.,positive,n0OFH4xpPr4,0.05,0.15,0.8,172,https://www.youtube.com/watch?v=n0OFH4xpPr4
Am I the only one who didn't know about it till 2020 ? 😭😭😭😭😭 How did I miss this ? O. M. G.... Angelina is SOOOOOOOO BEAUTIFUL....,positive,n0OFH4xpPr4,0.05,0.15,0.8,4,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Next time name it ""black carbon"", not ""snow white""",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"For people who don't use the Extension currently Likes: 74,372 Dislikes: 2,150,199",negative,iV46TJKL8cU,0.8,0.15,0.05,1394,https://www.youtube.com/watch?v=iV46TJKL8cU
"No dwarves were harmed during the making of this film, your eyes and ears certainly will be though! 😁",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
I think snow white's mom cheated with a dark skin dude in this movie,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
I have respect for those who managed to sit through the whole trailer instead of going to the comments to get there entertainment.,negative,iV46TJKL8cU,0.8,0.15,0.05,11,https://www.youtube.com/watch?v=iV46TJKL8cU
"Queen: Mirror, mirror, who is the most beautiful woman in the world? Mirror: Lord Farquaad",negative,iV46TJKL8cU,0.8,0.15,0.05,5336,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney We Want MALEFiCENT 3.,positive,n0OFH4xpPr4,0.05,0.15,0.8,15,https://www.youtube.com/watch?v=n0OFH4xpPr4
Just got home from Cinema. Done watching Maleficent and it is damn superbbbbbbb!,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"""Mirror mirror on the wall, who is the bravest of them all?"" ""Disney, for not locking the comment section""",negative,iV46TJKL8cU,0.8,0.15,0.05,41477,https://www.youtube.com/watch?v=iV46TJKL8cU
Prince united two kingdoms? wth what he did? chillin around?,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Snow white and the seven dwaves? Nah. Snow white and the seven million people who want their eyes back,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
why does she look like the people that make houses in the jungle,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
The Thing Is: Maleficent want to protect aurora from the queen,positive,n0OFH4xpPr4,0.05,0.15,0.8,2657,https://www.youtube.com/watch?v=n0OFH4xpPr4
"She is not snow white at all , and she mocked the old classic, she should be fired.",negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
Even Samsung is cheering for that Apple,negative,iV46TJKL8cU,0.8,0.15,0.05,6176,https://www.youtube.com/watch?v=iV46TJKL8cU
One Of The movies of all time😊,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
Don’t ruin my morning 🤣🤣😌😌😌,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
Pls Hindi dubbed this movie.,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
Angelina Jolie's cheekbones can cut glass Edit - Never got so much of likes😅thank you everyone Hope you have a great day ahead,positive,n0OFH4xpPr4,0.05,0.15,0.8,2728,https://www.youtube.com/watch?v=n0OFH4xpPr4
"She brought the modern woman energy, I'm glad no one approves.",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
My favourite film of disney,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
She is fitting to be a Shinigami from Death Note (they love apples),negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
Who else saw the subtitles “you’ve spent years caring for a shoe”? 😂😂 Hahaha jokes aside this movie is really awesome!! Love Maleficent so much!! ❤️❤️❤️,positive,n0OFH4xpPr4,0.05,0.15,0.8,5,https://www.youtube.com/watch?v=n0OFH4xpPr4
Snow White and the 7 trolls,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
"No one: Maleficent: ""Im so sick of this fake loveeeeee"" Edit: Oh my my my so many Armys😂💜",positive,n0OFH4xpPr4,0.05,0.15,0.8,1019,https://www.youtube.com/watch?v=n0OFH4xpPr4
who came from chat music?,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Aurora : LeMmE pRoOf YoU wRoNg MaH dUd Like if you’ve seen the movie maleficent: mistress of evil and think its amazing,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
Some victim.,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
it's so bad it makes off brand look better and official,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
"This movie is, weird weirdd",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"""What did you think I was?"" ""Nothing"" ""Ghost"" Me- ""Lord farquard""",negative,iV46TJKL8cU,0.8,0.15,0.05,20,https://www.youtube.com/watch?v=iV46TJKL8cU
Even Freddy Krueger doesn't want to fall asleep after seeing this.,negative,iV46TJKL8cU,0.8,0.15,0.05,463,https://www.youtube.com/watch?v=iV46TJKL8cU
I sure miss her.,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
You know it’s bad the moment the comments have more likes than the video,negative,iV46TJKL8cU,0.8,0.15,0.05,1347,https://www.youtube.com/watch?v=iV46TJKL8cU
"I’ve watched the movie and sorry but snow white describe by the original as the most beautiful girl that ever live. Zegler no doubt can sing, it would be better if she was just sang the soundtrack with one video clip like ariana in beauty and the beast. Snow white should be played by someone else in my opinion",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Guys what if it was jenn Aniston playing queen Ingrith....,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
watches this movie. best one totally go for it💕💕💕💯💯😍😍,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Who is thinking about descendants’s maleficient ?,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"""Mirror Mirror on the wall"", ""Why does this Movie make Cats not look so bad after all?""",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"Fans: Will you give us a new original movie and not a remake/sequel? Disney: No, I don't think I will.",positive,n0OFH4xpPr4,0.05,0.15,0.8,301,https://www.youtube.com/watch?v=n0OFH4xpPr4
"The fairy Maleficent - as a warlock who not only channeled natural disorderly powers, but raised hell's forces - is a necromancer as a warlock - Blizzard Entertainment need not use a company's characters.",positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
"This film is awesome! In 3rd part,Maleficent finds parents who have also daughter who wants to take Maleficent place and destroy humans 😂😂😂",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
The theater room is gonna be so empty. Except I guess some people might go into just watch how bad it is,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Quincy Idk 🤷‍♀️ idk 🤷‍♀️,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Who needs an evil queen in the movie, when you already casted an evil minded actress to play as snow white...😂😂",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
My medications cured me till I saw this trailer,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
I hear something. It’s Walt Disney screaming from heaven.,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
"Have u all have seen kristen stewart as snow white and the Huntsman , that was so cool and refreshing",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Where is Aishwarya Rai in this???,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Maleficent: Mistress of evil nope it should be titled... Humans: Bunch of evils ~~,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Disney: *Leaves Comment's Open* Everyone In The Comment Section: *Becomes The Greatest Comedians The World Has Ever Seen*,negative,iV46TJKL8cU,0.8,0.15,0.05,649,https://www.youtube.com/watch?v=iV46TJKL8cU
"Oh holy shit I want to see this!!! I literally JUST watched the first one......This has been one of my favorite Disney characters since I was a kid, and I can not believe Disney made such a beautiful movie!!",positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Guys, I recently watched this movie , it's beautiful and great. It has breathtaking visuals and has beautiful scenery and acting, mixed with a tinge of humour. The storyline was great and the movie was just awesome. Absolutely loved this movie. Would recommend this to everyone.",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"""Her skin, white as snow"" Disney: wait, lemme change that!",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
I thought I was going to watch snow white and not the destruction of all my hopes and dreams.,negative,iV46TJKL8cU,0.8,0.15,0.05,12,https://www.youtube.com/watch?v=iV46TJKL8cU
I enjoyed this so much. Oh you thought I was talking about the trailer?,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
"If you think about it, Phillip's mother is to blame for the entire issue. Maleficent was willing to give the union a chance. But Ingrith thought it was a good idea to antagonize Maleficent and try to take the one person she loves most away from her.",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Michelle vs. Angelina!!!! The Manipulative Stepmother vs. The Protective Stepmother!!!! Plus, Maleficent meets her kind!!! I am so living for this!!!",positive,n0OFH4xpPr4,0.05,0.15,0.8,744,https://www.youtube.com/watch?v=n0OFH4xpPr4
I only comeback to see dislikes count 2.47M btw,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
Holy Shit Kendis! IT IS ON!,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
So this time Snow White is the villain.,negative,iV46TJKL8cU,0.8,0.15,0.05,4482,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow chad and the seven morphs,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
We all new Disney's biggest mistakes was allowing the commas to be turned on because we all knew this was coming regardless,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow White and the seven discord mods,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow brown and the 7 cg-sins,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
"""How much CGI do you want in this movie?"" Disney: ""Yes.""",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"While love makes you weak, hatred gives you the strength to face everything.",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"""Love doesn't always end well, beastie."" Oh yes ofcourse!",positive,n0OFH4xpPr4,0.05,0.15,0.8,390,https://www.youtube.com/watch?v=n0OFH4xpPr4
Amazing how this trailer makes titanic look like the happiest movie of all time.,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
Possibly even better than the first!,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Is no one talking about Groot deadass leading a fairytale creature army now? 1:26,positive,n0OFH4xpPr4,0.05,0.15,0.8,137,https://www.youtube.com/watch?v=n0OFH4xpPr4
For those that can't see the stats. 82K likes and 2.4 MILLION Dislikes as of 8-26-2025,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"If this movie had been released in the 1900s, Titanic would have been forgotten as the worst disaster",negative,iV46TJKL8cU,0.8,0.15,0.05,4392,https://www.youtube.com/watch?v=iV46TJKL8cU
"Like/Dislike Statistics on September 28 for everyone who doesn't use the extension: Likes: 83 thousand Dislikes: TWO MILLION FOUR HUNDRED THREE THOUSAND SEVEN HUNDRED NINETY (2,403,790)",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"This movie is amazing, I love it soo much",positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
Can the meteor hit us already 😭,negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
Showed this to my blind mate he hoped in his car and drove home.,negative,iV46TJKL8cU,0.8,0.15,0.05,570,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney's maleficent: mistress of evil,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
God level swag on maleficent when she say Well Well.😁,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Mirror, mirror on the wall, throw it away and don't show it at all!",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow White and the 4 western and 3 islamist dwarves,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
I prefer watching £50 2 hour long YouTube videos compiling the backlash of this movie lol,negative,iV46TJKL8cU,0.8,0.15,0.05,6,https://www.youtube.com/watch?v=iV46TJKL8cU
"Damn, this trailer seems like for an Avengers movie not a Sleeping Beauty fairy tale.",positive,n0OFH4xpPr4,0.05,0.15,0.8,1105,https://www.youtube.com/watch?v=n0OFH4xpPr4
What the actual f*%#?! This is gonna be EPIC!!!!!,positive,n0OFH4xpPr4,0.05,0.15,0.8,153,https://www.youtube.com/watch?v=n0OFH4xpPr4
Is that a different Philip?,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Not even a dictionary has the words to describe how bad this movie is,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
Magic Mirror on the wall this comment section is the greatest of them all,negative,iV46TJKL8cU,0.8,0.15,0.05,6,https://www.youtube.com/watch?v=iV46TJKL8cU
"Nothing to see here ppl, just another angry mother in law",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"I watched this :D Spoiler Warning! ""Connans got shooted and die by iron bullet when Maleficent shock see a Tomb Bloom is disappear"" Sorry if i give you the spoiler, bcz the film is so cool! (I watched in cinema)",positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Currently: 68,092 upvotes, 1,991,701 downvotes. This is not something you always see online",negative,iV46TJKL8cU,0.8,0.15,0.05,414,https://www.youtube.com/watch?v=iV46TJKL8cU
"“Coming to theaters near you” Hey Elon musk, how’s mars going?",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"This movie is terrible. It completely misses the mark on love, where the prince should be fearless, a warrior, intelligent, and a great hero. And Snow White, a defenseless, fragile woman, is saved by the new love of her life. And the two would live happily ever after in a great love!",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
bro this movie sucks the actress don't even look like the real snow white,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
*Alarm clock about to beep* Me: DON'T RUIN MY MORNING!,positive,n0OFH4xpPr4,0.05,0.15,0.8,620,https://www.youtube.com/watch?v=n0OFH4xpPr4
If I pirates this movie I would still want a refund,negative,iV46TJKL8cU,0.8,0.15,0.05,5,https://www.youtube.com/watch?v=iV46TJKL8cU
Every time Aurora call her mother poor Maleficent fucked up. 😂😂😂😂,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
THEORY & ASSUMPTION : The Mistress of Evil refers to the prince's mother ( Michelle Phiffifer). I can't wait.,positive,n0OFH4xpPr4,0.05,0.15,0.8,565,https://www.youtube.com/watch?v=n0OFH4xpPr4
Disney finally did it. They made a video that actually makes me relieved when an ad plays.,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
Wait… which one is supposed to be the Evil Queen??,negative,iV46TJKL8cU,0.8,0.15,0.05,8088,https://www.youtube.com/watch?v=iV46TJKL8cU
Those are snow-white and the 7 cai bots,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
its actually not that bad tho 😭,negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
Who else just simply loves Angelina Jolie and likes it even better when she is a stunning queen of darkness ❤️,positive,n0OFH4xpPr4,0.05,0.15,0.8,585,https://www.youtube.com/watch?v=n0OFH4xpPr4
To bad it bombed :)c,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Snow white in the seven reddit mods,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
So Dolores Umbridge's favorite color in Pink. No matter what.,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Is it just me who thinks that diaval and aurora should've ended up together? Because like in the first movie prince Philip's kiss didn't wake aurora it was maleficent's true love's kiss. Plus in the movie it shows how caring diaval is towards aurora,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"My phone didn’t just die watching this, it took its own life.",negative,iV46TJKL8cU,0.8,0.15,0.05,7978,https://www.youtube.com/watch?v=iV46TJKL8cU
"Snow White is a very good representation of the innocent and evil, the songs are with musical influences and the personalities in the story touched my heart 🙏❤️",negative,iV46TJKL8cU,0.8,0.15,0.05,2,https://www.youtube.com/watch?v=iV46TJKL8cU
Thick of It seems like the best song ever compare to this Snow White movie,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
"This has ended in yt history as one of the most disliked videos ever, together up there with Cod Infinite Warfare and Johny Jonhy yes papa. Powered by return youtube dislikes extension.",negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
